%time,field.data
1573737502892550046,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1980" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972580</IPOC></Rob>

1573737502893312103,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1982" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972584</IPOC></Rob>

1573737502897256287,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0239" Z="1901.1985" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972588</IPOC></Rob>

1573737502901652726,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1981" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972592</IPOC></Rob>

1573737502905207547,<Rob Type="KUKA"><RIst X="200.0011" Y="-5308.0244" Z="1901.1985" A="106.6985" B="-0.0001" C="-180.0000"/><RSol X="26.4841" Y="-5565.7080" Z="2560.1554" A="31.9243" B="0.6859" C="-179.9649"/><AIPos A1="83.9740" A2="-64.7350" A3="90.3522" A4="0.0000" A5="64.3829" A6="10.6725"/><ASPos A1="89.2346" A2="-57.8109" A3="47.7192" A4="0.6140" A5="99.7662" A6="-58.7354"/><Delay D="0"/><IPOC>277972596</IPOC></Rob>

