%time,field.data
1575394277399452978,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6089" Z="1910.0166" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520374</IPOC></Rob>

1575394277403441038,<Rob Type="KUKA"><RIst X="158.0082" Y="-4166.6089" Z="1910.0168" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520378</IPOC></Rob>

1575394277407670542,<Rob Type="KUKA"><RIst X="158.0084" Y="-4166.6084" Z="1910.0168" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1614" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520382</IPOC></Rob>

1575394277411501170,<Rob Type="KUKA"><RIst X="158.0081" Y="-4166.6084" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520386</IPOC></Rob>

1575394277415279826,<Rob Type="KUKA"><RIst X="158.0080" Y="-4166.6089" Z="1910.0168" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8600"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520390</IPOC></Rob>

1575394277418969462,<Rob Type="KUKA"><RIst X="158.0082" Y="-4166.6089" Z="1910.0170" A="106.6985" B="0.0001" C="-180.0000"/><RSol X="101.4335" Y="-4522.5952" Z="2014.6830" A="139.0523" B="3.7917" C="178.5202"/><AIPos A1="85.1615" A2="-66.3473" A3="92.2112" A4="0.0000" A5="64.1360" A6="11.8599"/><ASPos A1="87.7517" A2="-51.9512" A3="64.8810" A4="-3.8998" A5="75.5849" A6="47.7752"/><Delay D="0"/><IPOC>2520394</IPOC></Rob>

