%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.translation.x,field.position.translation.y,field.position.translation.z,field.position.rotation.x,field.position.rotation.y,field.position.rotation.z,field.position.rotation.w,field.velocity.linear.x,field.velocity.linear.y,field.velocity.linear.z,field.velocity.angular.x,field.velocity.angular.y,field.velocity.angular.z,field.combined_linear_velocity,field.acceleration.linear.x,field.acceleration.linear.y,field.acceleration.linear.z,field.acceleration.angular.x,field.acceleration.angular.y,field.acceleration.angular.z
1575393331210588376,16,1575393333805377312,,0.372325373152,-2.33011052383,0.700343544818,0.635106097081,0.772424904384,-5.18037173103e-05,9.92705541437e-05,0.153327375813,-0.0522714619395,-0.123379523717,0.000238173645782,8.90218809375e-06,0.0745760837227,0.203627347818,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210591504,17,1575393334238378406,,0.439261832667,-2.35089238126,0.64618569353,0.622552554684,0.782577991147,-1.19477039976e-05,6.54604990337e-05,0.155767128243,-0.0436813515179,-0.126743650403,0.000237909395891,1.3835707492e-05,0.0745751314672,0.205512558324,0.0,0.0,0.0,0.0,0.0,0.0
1575393331211659494,18,1575393334671379500,,0.507149615823,-2.36790880828,0.590607917185,0.609836888858,0.792526950518,2.71923747136e-05,3.08384888435e-05,0.157718973897,-0.0348843852533,-0.129936996377,0.000237546600331,1.87835023635e-05,0.0745741818483,0.207306097569,0.0,0.0,0.0,0.0,0.0,0.0
1575393331211665727,19,1575393335104380593,,0.575774365029,-2.38107702466,0.533685513439,-0.596962419923,-0.802269197262,-6.56004639657e-05,4.58713275771e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655624472,20,1575393335607108348,,0.575909277854,-2.38109072214,0.533816349035,0.596935862339,0.802288960571,-1.46148991681e-12,1.96424826995e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655632562,21,1575393336417488229,,0.567919211696,-2.37241412163,0.530877566024,0.5968760459,0.802333462988,-1.46134484735e-12,1.96438743705e-12,-0.013144339175,0.0142244308936,-0.00482395324486,-2.21961864846e-16,-5.47541095992e-17,9.20002575361e-05,0.0199594241275,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655639875,22,1575393336903716158,,0.559929145537,-2.36373752112,0.527938783012,0.5968760459,0.802333462988,-1.46143385331e-12,1.964443557e-12,-0.0377829072149,0.0407048425458,-0.0138269056623,1.80176583504e-16,4.61839828648e-17,-4.85722573274e-17,0.0572329940199,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655646638,23,1575393337038779472,,0.551939079378,-2.35506092061,0.525,0.5968760459,0.802333462988,-1.46136967587e-12,1.96437013424e-12,-0.0634671966421,0.0691005885146,-0.0108898475479,-3.46548602677e-16,-7.87410331804e-17,5.20417042793e-17,0.0944540373001,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655655218,24,1575393337109550115,,0.547145039683,-2.34985496031,0.525,0.5968760459,0.802333462988,-1.46137991143e-12,1.96439601828e-12,-0.0677423944237,0.0735678289876,-1.65221219644e-06,4.25305184538e-19,8.64011464202e-18,-2.39391839685e-16,0.100006287137,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655661610,25,1575393337180320758,,0.542350999988,-2.344649,0.525,0.5968760459,0.802333462988,-1.46135229522e-12,1.96437227654e-12,-0.0677400062109,0.0737006454025,-4.80702750433e-05,-7.76871314226e-16,-1.80411241502e-16,-2.91433543964e-16,0.100102426968,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655666698,26,1575393337215026679,,0.539999999988,-2.342096,0.525,0.5968760459,0.802333462988,-1.46142426995e-12,1.9644219087e-12,-0.0681263592212,0.0729526071794,8.99201712115e-05,-1.05485620501e-15,-2.33038504592e-16,1.28369537222e-16,0.0998162902569,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655673869,27,1575393337321822366,,0.532684999988,-2.334315,0.525,0.5968760459,0.802333462988,-1.46140526169e-12,1.96439600084e-12,-0.0681045309084,0.0732588597354,-1.06981375644e-05,5.27210746255e-16,1.24915213915e-16,6.24500451352e-17,0.100025435637,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655698510,28,1575393337421228395,,0.525953999988,-2.327,0.525,0.5968760459,0.802333462988,-1.4613521491e-12,1.96437440554e-12,-0.0662213586711,0.075098034566,-7.03119305835e-05,1.30465176795e-15,2.87964097012e-16,-3.98986399475e-16,0.100124862465,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655748479,29,1575393337463468407,,0.523218999988,-2.323781,0.525,0.5968760459,0.802333462988,-1.46133604039e-12,1.96438300616e-12,-0.0645111169148,0.0763832192789,9.94762264028e-06,-8.45872751234e-16,-1.91895270426e-16,-5.20417042793e-17,0.0999804005391,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655769208,30,1575393337513552865,,0.519999999988,-2.319944,0.525,0.5968760459,0.802333462988,-1.46144165262e-12,1.9644153648e-12,-0.064635145987,0.0761720669616,5.10411881745e-05,-1.56791912084e-15,-3.48465560289e-16,2.77555756156e-16,0.0998993918257,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655773455,31,1575393337605360076,,0.514033999988,-2.312966,0.525,0.5968760459,0.802333462988,-1.46140645449e-12,1.96441104664e-12,-0.0646109472727,0.0763743246079,-1.82334576808e-05,-1.11022302462e-16,-2.27523857958e-17,-1.73472347598e-16,0.100038054256,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655808669,32,1575393337683208106,,0.509032999988,-2.307,0.525,0.5968760459,0.802333462988,-1.46142568861e-12,1.96444555522e-12,-0.0627094218149,0.0779102324436,-1.48063401802e-05,-1.52707887206e-15,-3.35828095674e-16,2.56739074445e-16,0.100012379849,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655820319,33,1575393337747599292,,0.505092999988,-2.301907,0.525,0.5968760459,0.802333462988,-1.46145101708e-12,1.96443908129e-12,-0.0609325294482,0.0792340223788,2.44627180756e-05,-2.22670794281e-16,-4.47965144711e-17,2.671474153e-16,0.0999540096529,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655853306,34,1575393337831544261,,0.499999999988,-2.295234,0.525,0.5968760459,0.802333462988,-1.46139716238e-12,1.96440238776e-12,-0.0609992884795,0.0793254075747,-3.3934998294e-05,-2.77555756156e-16,-5.47222416303e-17,-3.98986399475e-16,0.100067150621,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655870703,35,1575393337890226478,,0.496400999988,-2.290599,0.525,0.5968760459,0.802333462988,-1.4614264812e-12,1.96445846173e-12,-0.0609853685548,0.0792924715066,-1.69277788476e-05,2.62917551567e-16,6.13014308778e-17,3.81639164715e-16,0.100032552211,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655876749,36,1575393337935489958,,0.493655999988,-2.287,0.525,0.5968760459,0.802333462988,-1.46142378376e-12,1.96441964265e-12,-0.0590628559234,0.0805088547821,6.93937293482e-05,1.19300637684e-15,2.58871348057e-16,5.41233724505e-16,0.0998503954106,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655879985,37,1575393338033517730,,0.488021999988,-2.278978,0.525,0.5968760459,0.802333462988,-1.46138055044e-12,1.9644109804e-12,-0.0572220093978,0.0818947468078,5.2956137875e-05,3.88578058619e-16,8.81225651722e-17,-3.12250225676e-16,0.0999055089501,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655888138,38,1575393338174364956,,0.479999999988,-2.267401,0.525,0.5968760459,0.802333462988,-1.46137119754e-12,1.96439585582e-12,-0.0571075463079,0.0824914884688,-0.000176446336846,-1.84709872143e-14,-3.90740303687e-15,1.66186508999e-14,0.100330198088,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655891726,39,1575393338177244557,,0.479834999988,-2.267165,0.525,0.5968760459,0.802333462988,-1.46139929417e-12,1.96443900803e-12,-0.0572392877642,0.0820003734967,-1.09243175608e-06,-1.88188644497e-14,-3.98405781863e-15,6.51909082272e-15,0.100001986573,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655898547,40,1575393338179255776,,0.479719999988,-2.267,0.525,0.5968760459,0.802333462988,-1.46136326637e-12,1.96441096006e-12,-0.0554160180286,0.0828100180818,0.000182093431262,7.6327832943e-16,1.63508053391e-16,-1.03493602577e-14,0.0996416946206,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655903183,41,1575393338322122987,,0.472058999988,-2.254941,0.525,0.5968760459,0.802333462988,-1.46135094831e-12,1.9643613707e-12,-0.0533605585963,0.08472217431,-6.50461827776e-05,1.66848516295e-16,3.46944695195e-17,5.20417042793e-18,0.100125922041,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655908675,42,1575393338415840654,,0.467081999988,-2.247,0.525,0.5968760459,0.802333462988,-1.46135239151e-12,1.96437643406e-12,-0.0513253306464,0.085913344592,-5.2341709363e-05,4.86118839571e-16,9.71445146547e-17,5.36029554077e-16,0.10007694582,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655915562,43,1575393338467755401,,0.464508999988,-2.242491,0.525,0.5968760459,0.802333462988,-1.46136967385e-12,1.96437859197e-12,-0.0493837412849,0.086850050613,5.13395097255e-05,-1.17681763812e-16,-2.70104221385e-17,7.97972798949e-17,0.0999083971973,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655919056,44,1575393338559404472,,0.459999999988,-2.234512,0.525,0.5968760459,0.802333462988,-1.46142612864e-12,1.96443892007e-12,-0.0494192099718,0.0870378726089,-4.85803709734e-05,-1.2005224907e-15,-2.4159295974e-16,-2.01227923213e-16,0.100089219912,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655923007,45,1575393338614457292,,0.457266999988,-2.229733,0.525,0.5968760459,0.802333462988,-1.46144190586e-12,1.96442168435e-12,-0.0493887084575,0.0870152937491,-3.0589425335e-05,1.73462927377e-15,3.59386400837e-16,4.75314232418e-16,0.100054519164,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655927502,46,1575393338645837307,,0.455724999988,-2.227,0.525,0.5968760459,0.802333462988,-1.4613523274e-12,1.96438073993e-12,-0.0473228445191,0.0878457244778,0.000112809190797,7.98148324017e-16,1.63064006742e-16,1.63064006742e-16,0.099781439398,0.0,0.0,0.0,0.0,0.0,0.0
1575393335655930027,47,1575393338762707651,,0.450406999988,-2.216593,0.525,0.5968760459,0.802333462988,-1.46140891108e-12,1.96444537959e-12,-0.0453195367803,0.0891738217804,-1.35923458547e-05,9.68174335601e-17,2.27791682796e-17,-1.87350135405e-16,0.100029151199,0.0,0.0,0.0,0.0,0.0,0.0
