%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.acceleration0,field.acceleration1,field.acceleration2,field.acceleration3,field.acceleration4,field.acceleration5,field.jerk0,field.jerk1,field.jerk2,field.jerk3,field.jerk4,field.jerk5
1575393331210482003,11,1575393331640371843,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.54369288745,-0.996623860938,1.01162065186,1.53582491653e-05,1.55506832475,0.00593811797802,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,-1.18585878004e-15,0.0,-1.18585878004e-15,1.56495299309e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210496873,12,1575393332073372937,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.5174266253,-0.953169415466,0.983168399207,1.45472334181e-06,1.54016890297,0.0119654352186,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,8.33306169758e-16,0.0,1.9230142379e-16,-1.8779435917e-19,9.9355735625e-16,8.0125593246e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210501029,13,1575393332506374030,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.49116036315,-0.909714969994,0.954716146554,-1.24488024817e-05,1.5252694812,0.0179927524591,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,-8.33306169758e-16,0.0,3.84602847581e-16,1.72144829239e-19,-9.9355735625e-16,-7.61193135837e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210504103,14,1575393332939375124,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.464894101,-0.866260524522,0.926263893902,-2.63523283052e-05,1.51037005942,0.0240200696997,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,1.18585878004e-15,0.0,6.08954508669e-16,0.0,0.0,2.00313983115e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210520421,15,1575393333372376218,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.43862783886,-0.822806079049,0.89781164125,-4.02558541287e-05,1.49547063765,0.0300473869402,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,-1.53841139032e-15,0.0,-9.9355735625e-16,-1.56495299309e-19,-1.9230142379e-16,2.80439576361e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210525224,16,1575393333805377312,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.41236157671,-0.779351633577,0.869359388598,-5.41593799523e-05,1.48057121587,0.0360747041808,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,1.53841139032e-15,0.0,3.84602847581e-16,1.25196239447e-19,1.37816020383e-15,-2.80439576361e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210527583,17,1575393334238378406,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.38609531456,-0.735897188105,0.840907135946,-6.80629057758e-05,1.4656717941,0.0421020214213,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,0.0,0.0,0.0,6.25981197234e-20,-1.18585878004e-15,-3.60565169607e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210540468,18,1575393334671379500,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35982905241,-0.692442742633,0.812454883294,-8.19664315993e-05,1.45077237232,0.0481293386619,-0.0606609602689,0.100356433485,-0.0657094244271,-3.2109678293e-05,-0.0344096631335,0.0139198660844,-1.18585878004e-15,0.0,0.0,0.0,0.0,3.60565169607e-17,0.0,0.0,0.0,0.0,0.0,0.0
1575393331210544088,19,1575393335104380593,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.33356279026,-0.648988297161,0.784002630642,-9.58699574228e-05,1.43587295055,0.0541566559025,0.0,0.0,0.0,0.0,0.0,0.0,0.280188485123,-0.463538937496,0.303506967363,0.000148312227153,0.158935686877,-0.0642948310415,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626844894,20,1575393335607108348,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.33348598104,-0.649029400331,0.783965003306,2.90542274553e-17,1.43586072382,0.0541331550488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626847498,21,1575393336417488229,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.33583338807,-0.660391932229,0.806578847215,2.8818009003e-17,1.42460941181,0.0566296723917,0.00388270044649,-0.018385387385,0.0366052648275,-3.89660352948e-19,-0.0182198774425,0.00397470070402,0.00304186225316,-0.0134632724099,0.0268393455689,-3.02849757447e-19,-0.013376073159,0.00275804394873,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626849319,22,1575393336903716158,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.33820069865,-0.671453390745,0.828607545067,2.85808125818e-17,1.41364217247,0.0589969829674,0.0112725937957,-0.0512911103255,0.102196617769,-1.12659912302e-18,-0.0509055074431,0.0112725937957,0.0412294094925,-0.183756505541,0.366277988798,-4.11252814396e-18,-0.182521483256,0.0412294094925,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626859741,23,1575393337038779472,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34058814012,-0.682235858011,0.850094489987,2.83423760554e-17,1.40293769482,0.0613844244369,0.0190276492406,-0.0875953554727,0.163322447106,-1.94007703045e-18,-0.0757270916336,0.0190276492406,0.0262578187977,-0.150853015137,0.0822896811592,-3.39513422121e-18,0.0685633339777,0.0262578187977,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626863011,24,1575393337109550115,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34203036351,-0.688984406678,0.861952603084,2.81927113249e-17,1.39782813039,0.0628266478324,0.020430978886,-0.0948218810298,0.166455976376,-2.12105625505e-18,-0.071634095346,0.020430978886,0.00147354775859,0.0151515562014,-0.0311138446247,-1.77213227915e-19,0.0159622884234,0.00147354775858,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626871502,25,1575393337180320758,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34347996715,-0.695657069018,0.87365488299,2.80421590248e-17,1.39279851282,0.0642762514681,0.0205222198027,-0.0938994322013,0.16456032096,-2.13215200597e-18,-0.0706608887582,0.0205222198027,0.00148275421977,0.0146499325493,-0.0301368183685,-1.82979181009e-19,0.0154868858191,0.00148275421978,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626873915,26,1575393337215026679,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34419356667,-0.698902528248,0.87933852043,2.7967993268e-17,1.39036033461,0.0649898509867,0.0208003775563,-0.092741801107,0.162261853364,-2.16738956835e-18,-0.0695200522569,0.0208003775563,0.0067577690939,0.0218039912223,-0.0425093565701,-8.59709199577e-19,0.0207053653479,0.0067577690939,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626883685,27,1575393337321822366,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34644048771,-0.708724578363,0.896506788598,2.77332774817e-17,1.38301411656,0.0672367720303,0.0209241477887,-0.0915616755657,0.159822531492,-2.18344371946e-18,-0.0682608559263,0.0209241477887,-0.00223642302259,0.00793011031006,-0.0181479827969,2.7853128964e-19,0.0102178724869,-0.00223642302259,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626885911,28,1575393337421228395,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34850901377,-0.717785723695,0.912301113849,2.75176573243e-17,1.37628093664,0.0693052980935,0.020134911731,-0.0916850920336,0.159659951835,-2.08363026187e-18,-0.0679748598011,0.020134911731,-0.0190318765828,-0.0150294932851,0.021827836017,2.41319982319e-18,-0.00679834273183,-0.0190318765828,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626893592,29,1575393337463468407,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.34933104513,-0.721680983923,0.919077801802,2.74332543797e-17,1.37339950892,0.0701273294533,0.0193778735437,-0.0920701234124,0.160074971458,-1.9877673763e-18,-0.0680048480453,0.0193778735437,-0.00359994246367,0.0063768868777,-0.0155077852273,4.50924239068e-19,0.0091308983495,-0.00359994246365,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626900986,30,1575393337513552865,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35029741389,-0.726284894499,0.927077143012,2.73342193975e-17,1.37000407828,0.0710936982074,0.0195205060235,-0.0912586770382,0.158409230659,-2.0064524886e-18,-0.0671505536204,0.0195205060235,0.00636325376264,0.0187258547152,-0.0368676691674,-8.2014533389e-19,0.0181418144523,0.00636325376263,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626903606,31,1575393337605360076,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35211026012,-0.734602115199,0.941500186865,2.7147341648e-17,1.36389825513,0.0729065444388,0.0196264850778,-0.0903173588916,0.156438420096,-2.02089843285e-18,-0.0661210612047,0.0196264850778,-0.00282323423883,0.006532246162,-0.0156318608479,3.45335715312e-19,0.00909961468584,-0.00282323423883,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626915577,32,1575393337683208106,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35362882146,-0.741611575244,0.953626995839,2.69911589275e-17,1.3587809062,0.0744251057846,0.0188147134634,-0.0905051539751,0.156423493686,-1.9186461344e-18,-0.0659183397113,0.0188147134634,-0.0194609479096,-0.0130724154706,0.0182250826849,2.46360455103e-18,-0.00515266721429,-0.0194609479096,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626918013,33,1575393337747599292,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35479576272,-0.747469241899,0.963741020859,2.68732560353e-17,1.35452454784,0.075592047037,0.0180486793603,-0.0906855129599,0.156416881732,-1.82214225479e-18,-0.0657313687724,0.0180486793603,-0.00199564588782,0.00767159015345,-0.0176542885513,2.39957267407e-19,0.00998269839794,-0.00199564588783,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626926300,34,1575393337831544261,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35630464606,-0.755057952661,0.976816473002,2.67210433519e-17,1.34903780645,0.0771009303816,0.0181846927757,-0.0898309940836,0.154624895819,-1.84063177932e-18,-0.0647939017357,0.0181846927757,0.00589004189179,0.0159864425619,-0.0318955627682,-7.68103471429e-19,0.0159091202062,0.00589004189179,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626932902,35,1575393337890226478,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35738408859,-0.760295984205,0.985823465793,2.66114238033e-17,1.34526884521,0.0781803729111,0.0182646012587,-0.0891657857811,0.15321129874,-1.85195455678e-18,-0.0640455129591,0.0182646012587,-0.00500690441223,0.00366279611182,-0.0106326090311,6.18220174245e-19,0.00696981291932,-0.00500690441219,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626940312,36,1575393337935489958,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.3582049187,-0.764327629632,0.992745835855,2.65283250685e-17,1.34237812057,0.0790012030193,0.0174154066478,-0.0894787969742,0.153477230725,-1.74490764245e-18,-0.0639984337505,0.0174154066478,-0.0200733279153,-0.0113948105791,0.0151365967762,2.53976657424e-18,-0.00374178619713,-0.0200733279153,0.0,0.0,0.0,0.0,0.0,0.0
1575393335626946762,37,1575393338033517730,,kr210_joint_a1,kr210_joint_a2,kr210_joint_a3,kr210_joint_a4,kr210_joint_a5,kr210_joint_a6,1.35984162209,-0.773139051067,1.00784402091,2.63661943825e-17,1.33609135696,0.0806379064133,0.0166500044604,-0.089400374066,0.152922281332,-1.64917820327e-18,-0.0635219072664,0.0166500044604,-0.000775621038807,0.00814848063875,-0.0183725358111,7.95036162709e-20,0.0102240551723,-0.00077562103881,0.0,0.0,0.0,0.0,0.0,0.0
